   PPID     PID    PGID     SID TTY        TPGID STAT   UID   TIME COMMAND
      2     422       0       0 ?             -1 I<       0   0:00 [kworker/R-scsi_tmf_0]
      2     423       0       0 ?             -1 S        0   0:00 [scsi_eh_1]
      2     424       0       0 ?             -1 I<       0   0:00 [kworker/R-scsi_tmf_1]
      2     425       0       0 ?             -1 S        0   0:00 [scsi_eh_2]
      2     426       0       0 ?             -1 I<       0   0:00 [kworker/R-scsi_tmf_2]
      2     430       0       0 ?             -1 S        0   0:00 [irq/18-vmwgfx]
      2     433       0       0 ?             -1 I<       0   0:00 [kworker/R-ttm]
      2     500       0       0 ?             -1 I<       0   0:00 [kworker/R-kdmflush/253:0]
      2     507       0       0 ?             -1 I<       0   0:00 [kworker/R-kdmflush/253:1]
      2     535       0       0 ?             -1 I<       0   0:00 [kworker/R-xfsalloc]
      2     536       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs_mru_cache]
      2     537       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-buf/dm-0]
      2     538       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-conv/dm-0]
      2     539       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-reclaim/dm-0]
      2     540       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-blockgc/dm-0]
      2     541       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-inodegc/dm-0]
      2     542       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-log/dm-0]
      2     543       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-cil/dm-0]
      2     544       0       0 ?             -1 S        0   0:09 [xfsaild/dm-0]
      1     624     624     624 ?             -1 Ss       0   0:01 /usr/lib/systemd/systemd-journald
      1     641     641     641 ?             -1 Ss       0   0:01 /usr/lib/systemd/systemd-userdbd
      2     662       0       0 ?             -1 I<       0   0:00 [kworker/R-kmpathd]
      2     664       0       0 ?             -1 I<       0   0:00 [kworker/R-kmpath_handlerd]
      1     674     674     674 ?             -1 Ss       0   0:00 /usr/lib/systemd/systemd-udevd
      2     729       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-buf/sda2]
      2     730       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-conv/sda2]
      2     731       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-reclaim/sda2]
      2     732       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-blockgc/sda2]
      2     733       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-inodegc/sda2]
      2     734       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-log/sda2]
      2     735       0       0 ?             -1 I<       0   0:00 [kworker/R-xfs-cil/sda2]
      2     736       0       0 ?             -1 S        0   0:00 [xfsaild/sda2]
      1     753     753     753 ?             -1 S<sl     0   0:00 /usr/sbin/auditd
    753     755     753     753 ?             -1 S<       0   0:00 /usr/sbin/sedispatch
      1     770     770     770 ?             -1 Ss      81   0:00 /usr/bin/dbus-broker-launch --scope system --audit
    770     796     770     770 ?             -1 S       81   0:01 dbus-broker --log 4 --controller 9 --machine-id 18b49289c68647308b9c33a2b69fabc5 --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
      1     797     797     797 ?             -1 Ss      70   0:00 avahi-daemon: running [linux.local]
      1     800     800     800 ?             -1 Ss     992   0:00 /usr/bin/lsmd -d
      1     801     801     801 ?             -1 Ss       0   0:00 /usr/sbin/mcelog --daemon --foreground
      1     802     802     802 ?             -1 Ssl    114   0:00 /usr/lib/polkit-1/polkitd --no-debug --log-level=err
      1     803     803     803 ?             -1 SNsl   172   0:00 /usr/libexec/rtkit-daemon
      1     804     804     804 ?             -1 Ssl      0   0:00 /usr/libexec/accounts-daemon
      1     805     805     805 ?             -1 Ssl      0   0:00 /usr/libexec/switcheroo-control
      1     807     807     807 ?             -1 Ss       0   0:00 /usr/lib/systemd/systemd-logind
      1     808     808     808 ?             -1 Ssl      0   0:00 /usr/libexec/udisks2/udisksd
      1     809     809     809 ?             -1 Ssl      0   0:00 /usr/libexec/upowerd
    797     813     797     797 ?             -1 S       70   0:00 avahi-daemon: chroot helper
      1     832     832     832 ?             -1 SNs      0   0:00 /usr/sbin/alsactl -s -n 19 -c -E ALSA_CONFIG_PATH=/etc/alsa/alsactl.conf --initfile=/lib/alsa/init/00main rdaemon
      1     834     833     833 ?             -1 S      984   0:02 /usr/sbin/chronyd -F 2
      1     864     864     864 ?             -1 Ssl      0   0:00 /usr/sbin/ModemManager
      1     865     865     865 ?             -1 Ssl      0   0:00 /usr/bin/python3 -sP /usr/sbin/firewalld --nofork --nopid
      1     878     878     878 ?             -1 Ssl      0   0:11 /usr/sbin/NetworkManager --no-daemon
      1     899     899     899 ?             -1 Ss       0   0:00 /usr/sbin/cupsd -l
      1     900     900     900 ?             -1 Ss       0   0:00 sshd: /usr/sbin/sshd -D [listener] 0 of 10-100 startups
      1     902     902     902 ?             -1 Ssl      0   0:20 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
      1     916     916     916 ?             -1 Ss       0   0:00 /usr/sbin/atd -f
      1     917     917     917 ?             -1 Ss       0   0:00 /usr/sbin/crond -n
      1     918     918     918 ?             -1 Ssl      0   0:00 /usr/sbin/gdm
    918     938     918     918 ?             -1 Sl       0   0:00 gdm-session-worker [pam/gdm-launch-environment]
      1     956     956     956 ?             -1 Ss      42   0:00 /usr/lib/systemd/systemd --user
    956     963     956     956 ?             -1 S       42   0:00 (sd-pam)
    938    1008    1008    1008 tty1        1008 Ssl+    42   0:00 /usr/libexec/gdm-wayland-session dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
    956    1013    1013    1013 ?             -1 Ss      42   0:00 /usr/bin/dbus-broker-launch --scope user
      1    1016    1016    1016 ?             -1 Ssl      0   0:12 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
   1013    1021    1013    1013 ?             -1 S       42   0:00 dbus-broker --log 4 --controller 9 --machine-id 18b49289c68647308b9c33a2b69fabc5 --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
   1008    1023    1008    1008 tty1        1008 S+      42   0:00 dbus-run-session -- gnome-session --autostart /usr/share/gdm/greeter/autostart
   1023    1024    1008    1008 tty1        1008 S+      42   0:00 dbus-daemon --nofork --print-address 4 --session
   1023    1025    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gnome-session-binary --autostart /usr/share/gdm/greeter/autostart
   1025    1039    1008    1008 tty1        1008 Sl+     42   0:54 /usr/bin/gnome-shell
      1    1052    1052    1052 ?             -1 Ssl      0   0:11 /usr/sbin/rsyslogd -n
      1    1187    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/at-spi-bus-launcher
   1187    1197    1008    1008 tty1        1008 S+      42   0:00 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 12 --address=unix:path=/run/user/42/at-spi/bus
   1039    1205    1008    1008 tty1        1008 S+      42   0:00 /usr/bin/Xwayland :1024 -rootless -noreset -accessx -core -auth /run/user/42/.mutter-Xwaylandauth.H6REA3 -listenfd 4 -listenfd 5 -displayfd 6 -initfd 7 -byteswappedclients -enable-ei-portal
      1    1261    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
      1    1265    1265    1265 ?             -1 Ssl    991   0:00 /usr/libexec/colord
      1    1429    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/xdg-permission-store
      1    1441    1008    1008 tty1        1008 Sl+     42   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.Shell.Notifications
   1025    1444    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-sharing
   1025    1445    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-wacom
   1025    1448    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-color
   1025    1453    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-keyboard
   1025    1454    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-print-notifications
   1025    1455    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-rfkill
   1025    1467    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-smartcard
   1025    1470    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-datetime
   1025    1473    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-media-keys
   1025    1478    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-screensaver-proxy
   1025    1486    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-sound
   1025    1489    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-a11y-settings
   1025    1497    1008    1008 tty1        1008 Sl+     42   0:02 /usr/libexec/gsd-housekeeping
   1025    1505    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-power
      1    1755    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/gsd-printer
   1039    1760    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/mutter-x11-frames
   1039    1761    1761    1008 tty1        1008 Sl      42   0:02 ibus-daemon --panel disable -r --xim
   1761    1823    1761    1008 tty1        1008 Sl      42   0:00 /usr/libexec/ibus-dconf
      1    1829    1761    1008 tty1        1008 Sl      42   0:00 /usr/libexec/ibus-x11 --kill-daemon
      1    1836    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/ibus-portal
      2    1856       0       0 ?             -1 I<       0   0:00 [kworker/u5:1]
   1761    1869    1761    1008 tty1        1008 Sl      42   0:00 /usr/libexec/ibus-engine-simple
    956    1878    1878    1878 ?             -1 S<sl    42   0:00 /usr/bin/pipewire
    956    1879    1879    1879 ?             -1 S<sl    42   0:00 /usr/bin/wireplumber
    956    1881    1881    1881 ?             -1 S<sl    42   0:00 /usr/bin/pipewire-pulse
      1    1915    1915    1915 ?             -1 Ss       0   0:00 /usr/sbin/wpa_supplicant -c /etc/wpa_supplicant/wpa_supplicant.conf -u -s
      1    1952    1008    1008 tty1        1008 Sl+     42   0:02 /usr/libexec/xdg-desktop-portal
      1    1964    1008    1008 tty1        1008 Sl+     42   0:00 /usr/libexec/xdg-document-portal
   1964    1979    1979    1979 ?             -1 Ss       0   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/42/doc
      1    1984    1008    1008 tty1        1008 Sl+     42   0:02 /usr/libexec/xdg-desktop-portal-gnome
      1    2023    1008    1008 tty1        1008 Sl+     42   0:00 /usr/bin/gjs -m /usr/share/gnome-shell/org.gnome.ScreenSaver
      1    2056    1008    1008 tty1        1008 Sl+     42   0:02 /usr/libexec/xdg-desktop-portal-gtk
      1    2065    1008    1008 tty1        1008 Sl+     42   0:00 /usr/bin/gnome-keyring-daemon --start --foreground --components=secrets
      1    9719    9719    9719 ?             -1 Ss    1000   0:00 /usr/lib/systemd/systemd --user
   9719    9721    9719    9719 ?             -1 S     1000   0:00 (sd-pam)
      1    9864    9781    9781 ?             -1 S     1000   0:00 sh /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/bin/code-server --connection-token=remotessh --accept-server-license-terms --start-server --enable-remote-auto-shutdown --socket-path=/tmp/code-6a8c9f2f-6557-4855-a6bc-3968ded814ec
   9864    9868    9781    9781 ?             -1 Sl    1000   1:17 /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/node /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/server-main.js --connection-token=remotessh --accept-server-license-terms --start-server --enable-remote-auto-shutdown --socket-path=/tmp/code-6a8c9f2f-6557-4855-a6bc-3968ded814ec
   9868    9997    9781    9781 ?             -1 Sl    1000   1:34 /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/node /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/bootstrap-fork --type=ptyHost --logsPath /home/user/.vscode-server/data/logs/20250805T030616
   9997   10216   10216   10216 pts/5      10216 Ss+   1000   0:00 /bin/bash --init-file /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
   9997   10296   10296   10296 pts/6      10296 Ss+   1000   0:00 /bin/bash --init-file /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
   9868   13643    9781    9781 ?             -1 Sl    1000   0:42 /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/node --dns-result-order=ipv4first /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/bootstrap-fork --type=extensionHost --transformURIs --useHostProxy=false
   9868   13654    9781    9781 ?             -1 Sl    1000   0:24 /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/node /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/bootstrap-fork --type=fileWatcher
    900   13787   13787   13787 ?             -1 Ss       0   0:00 sshd-session: user [priv]
  13787   13791   13787   13787 ?             -1 S     1000   0:00 sshd-session: user@pts/0
  13791   13792   13792   13792 pts/0      13792 Ss+   1000   0:00 -bash
  13643   13916    9781    9781 ?             -1 S     1000   0:00 /home/user/.vscode-server/extensions/ms-python.python-2025.10.1-linux-x64/python-env-tools/bin/pet server
   9997   14023   14023   14023 pts/2      14023 Ss+   1000   0:00 /bin/bash --init-file /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/out/vs/workbench/contrib/terminal/common/scripts/shellIntegration-bash.sh
  13643   14056    9781    9781 ?             -1 Sl    1000   0:37 /home/user/.vscode-server/cli/servers/Stable-488a1f239235055e34e673291fb8d8c810886f81/server/node /home/user/.vscode-server/extensions/ms-python.vscode-pylance-2025.7.1/dist/server.bundle.js --cancellationReceive=file:f8814f8edf9767b956ee55346b05d010cc00cc751e --node-ipc --clientProcessId=13643
      2   14204       0       0 ?             -1 I<       0   0:00 [kworker/0:0H-kblockd]
      2   14662       0       0 ?             -1 I        0   0:00 [kworker/u4:2-events_unbound]
      2   14663       0       0 ?             -1 I<       0   0:00 [kworker/0:1H-xfs-log/dm-0]
      2   14762       0       0 ?             -1 I        0   0:00 [kworker/u4:4-xfs-cil/dm-0]
    900   14776   14776   14776 ?             -1 Ss       0   0:00 sshd-session: user [priv]
  14776   14779   14776   14776 ?             -1 S     1000   0:03 sshd-session: user@notty
  14779   14780   14780   14780 ?             -1 Ss    1000   0:00 sh
  14780   14820   14780   14780 ?             -1 Sl    1000   0:01 /home/user/.vscode-server/code-488a1f239235055e34e673291fb8d8c810886f81 command-shell --cli-data-dir /home/user/.vscode-server/cli --parent-process-id 14780 --on-host=127.0.0.1 --on-port
      2   14898       0       0 ?             -1 I        0   0:01 [kworker/0:1-events_power_efficient]
      2   14948       0       0 ?             -1 I        0   0:00 [kworker/u4:0-events_unbound]
      2   14975       0       0 ?             -1 I        0   0:00 [kworker/0:3-ata_sff]
      2   15018       0       0 ?             -1 I        0   0:00 [kworker/0:2-xfs-buf/dm-0]
      2   15037       0       0 ?             -1 I        0   0:00 [kworker/u4:1-events_unbound]
    900   15038   15038   15038 ?             -1 Ss       0   0:00 sshd-session: user [priv]
  15038   15042   15038   15038 ?             -1 S     1000   0:00 sshd-session: user@pts/1
  15042   15043   15043   15043 pts/1      15156 Ss    1000   0:00 -bash
      2   15087       0       0 ?             -1 I        0   0:00 [kworker/0:0]
    641   15088     641     641 ?             -1 S        0   0:00 systemd-userwork: waiting...
      1   15107   15107   15107 ?             -1 Ssl      0   0:00 /usr/libexec/fwupd/fwupd
    641   15129     641     641 ?             -1 S        0   0:00 systemd-userwork: waiting...
    641   15130     641     641 ?             -1 S        0   0:00 systemd-userwork: waiting...
  14780   15134   14780   14780 ?             -1 S     1000   0:00 sleep 180
      1   15142   15142   15142 ?             -1 Ssl      0   0:00 /usr/libexec/packagekitd
  15043   15156   15156   15043 pts/1      15156 R+    1000   0:00 ps ajx
